Mach,CD Power-Off
0.01,0.41483772
0.02,0.44112304
0.03,0.4342634
0.04,0.42412785
0.05,0.4144085
0.06,0.40679482
0.07,0.40437267
0.08,0.40177026
0.09,0.39915348
0.1,0.39659843
0.11,0.39413912
0.12,0.39178882
0.13,0.38955042
0.14,0.38742151
0.15,0.38539717
0.16,0.38346691
0.17,0.38163322
0.18,0.37988537
0.19,0.37821726
0.2,0.37662329
0.21,0.37509815
0.22,0.37363705
0.23,0.37223553
0.24,0.37088957
0.25,0.36959543
0.26,0.36851129
0.27,0.3674725
0.28,0.36647623
0.29,0.36551986
0.3,0.36460104
0.31,0.36371756
0.32,0.3628674
0.33,0.3620487
0.34,0.36125977
0.35,0.36049898
0.36,0.35976489
0.37,0.35905612
0.38,0.35837141
0.39,0.35770957
0.4,0.35706953
0.41,0.35645025
0.42,0.35585076
0.43,0.35527019
0.44,0.3547077
0.45,0.35416248
0.46,0.3536338
0.47,0.35312098
0.48,0.35262338
0.49,0.35214036
0.5,0.35167133
0.51,0.35121579
0.52,0.3507732
0.53,0.35034308
0.54,0.34997646
0.55,0.35008037
0.56,0.35018439
0.57,0.35028855
0.58,0.35039281
0.59,0.35049718
0.6,0.35060167
0.61,0.35099858
0.62,0.3513851
0.63,0.35177175
0.64,0.35215851
0.65,0.35254536
0.66,0.35293235
0.67,0.35331943
0.68,0.35370663
0.69,0.35409394
0.7,0.35448136
0.71,0.35486889
0.72,0.35525654
0.73,0.35564428
0.74,0.35603214
0.75,0.3564201
0.76,0.35680819
0.77,0.35719638
0.78,0.35758466
0.79,0.35797307
0.8,0.35836156
0.81,0.35875018
0.82,0.35913889
0.83,0.35952772
0.84,0.35991666
0.85,0.36030568
0.86,0.36069482
0.87,0.36108406
0.88,0.36147341
0.89,0.36186286
0.9,0.3622524
0.91,0.36471572
0.92,0.37210567
0.93,0.39174756
0.94,0.41994642
0.95,0.44814528
0.96,0.47634413
0.97,0.50454299
0.98,0.53274185
0.99,0.56094071
1,0.58913957
1.01,0.61733842
1.02,0.64553728
1.03,0.67373614
1.04,0.701935
1.05,0.73013386
1.06,0.75561939
1.07,0.78251477
1.08,0.81080832
1.09,0.84049071
1.1,0.87155504
1.11,0.90399577
1.12,0.93780931
1.13,0.97299305
1.14,1.00373842
1.15,0.98365173
1.16,0.96492187
1.17,0.94764861
1.18,0.93164195
1.19,0.9167362
1.2,0.90279498
1.21,0.88970472
1.22,0.87737004
1.23,0.86571024
1.24,0.85465636
1.25,0.84414908
1.26,0.83413718
1.27,0.82457601
1.28,0.81542651
1.29,0.80665437
1.3,0.79822919
1.31,0.79012405
1.32,0.78231494
1.33,0.77478041
1.34,0.76750117
1.35,0.76045983
1.36,0.75364072
1.37,0.74702959
1.38,0.7406135
1.39,0.73438071
1.4,0.72832042
1.41,0.72242273
1.42,0.71667865
1.43,0.71107983
1.44,0.70561851
1.45,0.70028773
1.46,0.69508082
1.47,0.68999169
1.48,0.68501476
1.49,0.68014472
1.5,0.67537666
1.51,0.67070602
1.52,0.66612852
1.53,0.66164014
1.54,0.65723715
1.55,0.65291603
1.56,0.64867346
1.57,0.64450635
1.58,0.64041172
1.59,0.63638677
1.6,0.63242856
1.61,0.62853468
1.62,0.62470275
1.63,0.62093064
1.64,0.61721625
1.65,0.61355761
1.66,0.60995286
1.67,0.60640019
1.68,0.60289794
1.69,0.5994445
1.7,0.59603835
1.71,0.59267801
1.72,0.58936208
1.73,0.58608927
1.74,0.58285828
1.75,0.57966789
1.76,0.57651699
1.77,0.57340442
1.78,0.57032913
1.79,0.56729011
1.8,0.56428637
1.81,0.56131702
1.82,0.5583811
1.83,0.55547776
1.84,0.5526062
1.85,0.54976562
1.86,0.5469552
1.87,0.54417425
1.88,0.54142207
1.89,0.53869792
1.9,0.5360012
1.91,0.53333123
1.92,0.53068742
1.93,0.52806917
1.94,0.5254759
1.95,0.52290707
1.96,0.52036215
1.97,0.51784061
1.98,0.51534196
1.99,0.5128657
2,0.51041139
2.01,0.5080954
2.02,0.5057954
2.03,0.50351818
2.04,0.5012633
2.05,0.49903033
2.06,0.49681888
2.07,0.49462857
2.08,0.49245902
2.09,0.49030981
2.1,0.48818064
2.11,0.48607113
2.12,0.48398094
2.13,0.48190975
2.14,0.47985724
2.15,0.47782308
2.16,0.47580698
2.17,0.47380864
2.18,0.47182778
2.19,0.46986413
2.2,0.46791739
2.21,0.4659873
2.22,0.46407361
2.23,0.46217605
2.24,0.46029441
2.25,0.45842841
2.26,0.45657783
2.27,0.45474245
2.28,0.45292205
2.29,0.45111639
2.3,0.44932527
2.31,0.44754849
2.32,0.44578585
2.33,0.44403712
2.34,0.44230213
2.35,0.44058071
2.36,0.43887265
2.37,0.43717776
2.38,0.43549587
2.39,0.43382682
2.4,0.43217045
2.41,0.43052657
2.42,0.42889503
2.43,0.42727567
2.44,0.42566833
2.45,0.42407287
2.46,0.42248912
2.47,0.42091696
2.48,0.41935624
2.49,0.41780679
2.5,0.41626852
2.51,0.41474126
2.52,0.41322492
2.53,0.41171931
2.54,0.41022437
2.55,0.40873992
2.56,0.40726585
2.57,0.40580207
2.58,0.40434844
2.59,0.40290484
2.6,0.40147117
2.61,0.40004732
2.62,0.39863318
2.63,0.39722863
2.64,0.39583357
2.65,0.39444791
2.66,0.39307153
2.67,0.39170435
2.68,0.39034625
2.69,0.38899717
2.7,0.38765696
2.71,0.38632558
2.72,0.3850029
2.73,0.38368886
2.74,0.38238335
2.75,0.38108629
2.76,0.37979761
2.77,0.37851721
2.78,0.37724501
2.79,0.37598092
2.8,0.37472486
2.81,0.37347677
2.82,0.37223656
2.83,0.37100415
2.84,0.36977947
2.85,0.36856246
2.86,0.36735303
2.87,0.36615109
2.88,0.3649566
2.89,0.36376947
2.9,0.36258965
2.91,0.36141707
2.92,0.36025164
2.93,0.35909331
2.94,0.35794202
2.95,0.35679771
2.96,0.35566032
2.97,0.35452975
2.98,0.35340596
2.99,0.3522889
3,0.35117853
3.01,0.35011497
3.02,0.34905725
3.03,0.34800531
3.04,0.34695911
3.05,0.34591858
3.06,0.3448837
3.07,0.3438544
3.08,0.34283062
3.09,0.34181236
3.1,0.34079953
3.11,0.33979212
3.12,0.33879005
3.13,0.33779332
3.14,0.33680185
3.15,0.33581561
3.16,0.33483455
3.17,0.33385864
3.18,0.33288784
3.19,0.33192211
3.2,0.33096139
3.21,0.33000566
3.22,0.32905486
3.23,0.32810898
3.24,0.32716796
3.25,0.32623177
3.26,0.32530037
3.27,0.32437373
3.28,0.3234518
3.29,0.32253456
3.3,0.32162195
3.31,0.32071397
3.32,0.31981054
3.33,0.31891167
3.34,0.3180173
3.35,0.31712742
3.36,0.31624196
3.37,0.3153609
3.38,0.31448421
3.39,0.31361187
3.4,0.31274383
3.41,0.31188007
3.42,0.31102055
3.43,0.31016526
3.44,0.30931413
3.45,0.30846714
3.46,0.30762429
3.47,0.30678553
3.48,0.30595084
3.49,0.30512016
3.5,0.3042935
3.51,0.3034708
3.52,0.30265205
3.53,0.30183722
3.54,0.30102627
3.55,0.30021917
3.56,0.29941592
3.57,0.29861648
3.58,0.2978208
3.59,0.29702888
3.6,0.29624069
3.61,0.29545619
3.62,0.29467535
3.63,0.29389818
3.64,0.29312463
3.65,0.29235466
3.66,0.29158827
3.67,0.29082543
3.68,0.2900661
3.69,0.28931027
3.7,0.28855791
3.71,0.28780899
3.72,0.28706351
3.73,0.28632142
3.74,0.28558271
3.75,0.28484735
3.76,0.28411532
3.77,0.28338659
3.78,0.28266116
3.79,0.28193898
3.8,0.28122004
3.81,0.28050432
3.82,0.27979179
3.83,0.27908242
3.84,0.27837623
3.85,0.27767315
3.86,0.27697318
3.87,0.27627631
3.88,0.27558248
3.89,0.27489171
3.9,0.27420396
3.91,0.27351922
3.92,0.27283746
3.93,0.27215866
3.94,0.2714828
3.95,0.27080987
3.96,0.27013983
3.97,0.26947268
3.98,0.26880839
3.99,0.26814696
4,0.26748834
